date,open,high,low,close,volume
11/30/21,48.9,50.0,46.8,47.2,164473.0
11/30/21,50.9,51.0,49.4,49.6,170639.0
11/30/21,31.2,31.5,28.7,28.9,7665103.0
11/30/21,545.0,545.0,545.0,545.0,1.0
11/30/21,82.0,82.6,80.0,81.6,89566.0
11/30/21,7.1,7.1,6.8,6.9,193770.0
11/30/21,11.1,11.1,10.6,10.7,235528.0
11/30/21,17.3,17.9,17.3,17.5,44485.0
11/30/21,161.0,161.8,158.6,159.0,83267.0
11/30/21,19.6,20.7,19.6,20.1,94006000.0
11/30/21,83.7,90.7,82.5,90.7,1511346.0
11/30/21,102.0,106.0,102.0,103.6,3534084.0
11/30/21,48.5,48.5,47.4,47.7,97020.0
11/30/21,210.0,213.7,210.0,211.2,29756.0
11/30/21,137.1,137.1,133.2,135.0,34128.0
11/30/21,74.8,74.8,70.1,71.0,84495.0
11/30/21,12.7,12.8,12.1,12.2,1392566.0
11/30/21,32.9,32.9,31.5,31.8,1268755.0
11/30/21,47.9,47.9,45.1,45.2,216596.0
11/30/21,9.0,9.0,8.8,8.8,253510.0
11/30/21,483.6,496.5,483.5,485.8,36926.0
11/30/21,54.0,55.2,53.2,53.6,29280.0
11/30/21,26.8,26.9,25.4,25.4,126856.0
11/30/21,5.8,5.8,5.6,5.7,312807.0
11/30/21,109.0,109.0,104.9,105.2,76418.0
11/30/21,5.6,5.6,5.5,5.5,398801.0
11/30/21,80.0,80.7,77.5,77.6,26140.0
11/30/21,54.8,54.8,53.1,53.3,620040.0
11/30/21,82.7,83.0,79.1,80.8,62581.0
